event_type_count,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
15,online_stsp,6500,783,783,True,2.1895542500000005,28.525482666000002,0.00934979099999822,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_006500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_006500_metadata.json,,,,,,,,
15,sts_miner,6500,783,783,True,1.1721105000000307,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_006500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_006500_metadata.json,0.0,0.0,118.0,250.0,60.0,1.0,23.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_006500_attempts.csv
15,stbfm,6500,783,783,True,0.508280042000024,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_006500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_006500_metadata.json,0.0,0.0,118.0,250.0,60.0,0.0,30.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_006500_attempts.csv
15,online_stsp,7000,1361,1361,True,2.2658469169999975,30.791329583,0.01806600000000458,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_007000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_007000_metadata.json,,,,,,,,
15,sts_miner,7000,1361,1343,True,1.7773272499999848,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_007000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_007000_metadata.json,18.0,0.01322556943423953,205.0,250.0,120.0,96.0,39.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_007000_attempts.csv
15,stbfm,7000,1361,1401,True,1.085414834000062,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_007000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_007000_metadata.json,40.0,0.029390154298310066,205.0,250.0,240.0,0.00390625,50.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_007000_attempts.csv
15,online_stsp,7500,3301,3301,True,2.675798708000002,33.467128291,0.043437832999998705,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_007500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_007500_metadata.json,,,,,,,,
15,sts_miner,7500,3301,3534,True,3.7174022499999637,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_007500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_007500_metadata.json,233.0,0.07058467131172372,496.0,250.0,240.0,80.0,50.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_007500_attempts.csv
15,stbfm,7500,3301,3135,True,0.4699198749999596,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_007500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_007500_metadata.json,166.0,0.0502877915783096,496.0,500.0,30.0,0.0,70.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_007500_attempts.csv
15,online_stsp,8000,310,310,True,2.2275877920000013,35.694716083,0.006500791999997091,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_008000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_008000_metadata.json,,,,,,,,
15,sts_miner,8000,310,318,True,0.8964391670000396,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_008000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_008000_metadata.json,8.0,0.025806451612903226,47.0,250.0,30.0,48.0,18.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_008000_attempts.csv
15,stbfm,8000,310,314,True,1.1765308749999122,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_008000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_008000_metadata.json,4.0,0.012903225806451613,47.0,250.0,240.0,0.01171875,50.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_008000_attempts.csv
15,online_stsp,8500,3854,3854,True,3.080765124999999,38.775481208,0.10579120899999594,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_008500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_008500_metadata.json,,,,,,,,
15,sts_miner,8500,3854,4222,True,4.6755066250000255,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_008500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_008500_metadata.json,368.0,0.09548521017125065,579.0,250.0,240.0,64.0,50.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_008500_attempts.csv
15,stbfm,8500,3854,3293,True,2.139727042000004,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_008500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_008500_metadata.json,561.0,0.1455630513751946,579.0,500.0,240.0,0.01953125,100.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_008500_attempts.csv
15,online_stsp,9000,759,759,True,2.107281708000002,40.882762916000004,0.009433125000001041,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_009000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_009000_metadata.json,,,,,,,,
15,sts_miner,9000,759,791,True,1.6482832079999525,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_009000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_009000_metadata.json,32.0,0.04216073781291173,114.0,250.0,60.0,48.0,28.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_009000_attempts.csv
15,stbfm,9000,759,737,True,0.7109519999999065,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_009000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_009000_metadata.json,22.0,0.028985507246376812,114.0,500.0,60.0,0.0078125,79.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_009000_attempts.csv
15,online_stsp,9500,29244,29244,True,2.8723057089999955,43.755068625,0.5577414159999989,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_009500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_009500_metadata.json,,,,,,,,
15,sts_miner,9500,29244,29799,True,15.597740334000036,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_009500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_009500_metadata.json,555.0,0.01897825194911777,4387.0,500.0,120.0,16.0,87.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_009500_attempts.csv
15,stbfm,9500,29244,32101,True,1.590300083999864,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_009500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_009500_metadata.json,2857.0,0.09769525372726029,4387.0,500.0,120.0,0.0,90.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_009500_attempts.csv
15,online_stsp,10000,2987,2987,True,2.8501128750000007,46.6051815,0.04349845800000196,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_010000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_010000_metadata.json,,,,,,,,
