event_type_count,online_theta,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
25,0.15,online_stsp,33500,2876,2876,True,4.541102834045887,327.2435881670099,0.04092258302262053,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_033500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_033500_metadata.json,,,,,,,,
25,0.15,sts_miner,33500,2876,2926,True,14.704058665956836,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_033500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_033500_metadata.json,50.0,0.017385257301808066,288.0,250.0,60.0,128.0,33.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_033500_attempts.csv
25,0.15,stbfm,33500,2876,3057,True,3.3347755419672467,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_033500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_033500_metadata.json,181.0,0.0629346314325452,288.0,1000.0,30.0,0.015625,118.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_033500_attempts.csv
25,0.15,online_stsp,34000,889,889,True,5.713771457958501,332.9573596249684,0.012019499961752445,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_034000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_034000_metadata.json,,,,,,,,
25,0.15,sts_miner,34000,889,892,True,7.060015833005309,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_034000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_034000_metadata.json,3.0,0.003374578177727784,89.0,250.0,15.0,128.0,11.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_034000_attempts.csv
25,0.15,stbfm,34000,889,858,True,3.363425375020597,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_034000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_034000_metadata.json,31.0,0.03487064116985377,89.0,500.0,60.0,0.01171875,80.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_034000_attempts.csv
25,0.15,online_stsp,34500,1039,1039,True,5.676341207989026,338.6337008329574,0.012777541007380933,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_034500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_034500_metadata.json,,,,,,,,
25,0.15,sts_miner,34500,1039,1028,True,7.970035917009227,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_034500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_034500_metadata.json,11.0,0.010587102983638113,104.0,250.0,15.0,96.0,9.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_034500_attempts.csv
25,0.15,stbfm,34500,1039,1091,True,4.5607606249977835,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_034500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_034500_metadata.json,52.0,0.05004812319538017,104.0,250.0,120.0,0.00390625,40.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_034500_attempts.csv
25,0.15,online_stsp,35000,462,462,True,5.642175292014144,344.27587612497155,0.0064399580005556345,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_035000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_035000_metadata.json,,,,,,,,
