algorithm,online_theta,event_count,pattern_count,significant_synapse_count,interval_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path
online_stsp,0.2,32000,2539,409,2.8265147079946473,170.93715191699448,0.03786391598987393,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_032000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_032000_metadata.json
online_stsp,0.2,32500,529,232,3.046447333006654,173.98359925000113,0.005806874978588894,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_032500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_032500_metadata.json
online_stsp,0.2,33000,798,353,2.7898915840196423,176.77349083402078,0.00796054198872298,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_033000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_033000_metadata.json
online_stsp,0.2,33500,1238,560,2.8969464999972843,179.67043733401806,0.017996792012127116,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_033500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_033500_metadata.json
online_stsp,0.2,34000,223,214,2.7786862079810817,182.44912354199914,0.0021640420018229634,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_034000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_034000_metadata.json
online_stsp,0.2,34500,908,482,2.561114083015127,185.01023762501427,0.009709500009194016,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_034500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_034500_metadata.json
online_stsp,0.2,35000,265,165,2.9647705419920385,187.9750081670063,0.003048624988878146,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_035000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_035000_metadata.json
online_stsp,0.2,35500,109,84,2.921322792011779,190.8963309590181,0.0011085000005550683,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_035500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_035500_metadata.json
online_stsp,0.2,36000,73,60,2.3619776249979623,193.25830858401605,0.0006648330017924309,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_036000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_036000_metadata.json
online_stsp,0.2,36500,1150,397,2.9642314160009846,196.22254000001703,0.012822459015296772,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_036500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_036500_metadata.json
